bag_id,alan,footprint_area_m2,bouwjaar,status,gebruiksdoel,class6_points,roof_p30_z_nap_m,roof_p70_z_nap_m,roof_p90_z_nap_m,roof_span_m,ground_ring_points,ground_z_nap_m,h_measured_m
0503100000018979,A,50.32,1966,Pand in gebruik,woonfunctie,1288,4.350,4.350,4.450,0.100,2223,-1.650,6.000
0503100000019842,A,970.43,1968,Pand in gebruik,bijeenkomstfunctie,47924,5.750,5.750,6.750,1.000,22148,-1.250,7.000
0503100000018980,A,50.09,1966,Pand in gebruik,woonfunctie,1330,4.350,4.450,4.550,0.200,2287,-1.450,5.900
0503100000019843,A,18.32,1966,Pand in gebruik,overige gebruiksfunctie,471,1.250,1.350,1.550,0.300,3319,-1.750,3.100
0503100000018981,A,52.54,1966,Pand in gebruik,woonfunctie,1296,4.350,4.350,4.350,0.000,3500,-1.850,6.200
0503100000019844,A,608.73,1979,Pand in gebruik,woonfunctie,19132,5.250,5.350,5.450,0.200,13290,-0.550,5.900
0503100000019845,A,1126.08,1967,Pand in gebruik,"kantoorfunctie,woonfunctie",38863,50.750,50.950,51.250,0.500,19970,-0.150,51.100
0503100000018982,A,52.53,1966,Pand in gebruik,woonfunctie,1299,4.250,4.350,4.350,0.100,2362,-1.550,5.900
0503100000019846,A,208.03,1967,Pand in gebruik,woonfunctie,6990,23.850,23.950,26.950,3.100,3657,-1.850,25.800
0503100000018983,A,52.53,1966,Pand in gebruik,woonfunctie,1252,4.350,4.350,4.350,0.000,2473,-1.450,5.800
0503100000019847,A,207.86,1967,Pand in gebruik,woonfunctie,6932,23.850,23.950,27.050,3.200,3447,-1.750,25.700
0503100000018984,A,52.53,1966,Pand in gebruik,woonfunctie,1195,4.250,4.350,4.350,0.100,2554,-1.450,5.800
0503100000019848,A,354.39,1972,Pand in gebruik,woonfunctie,10471,33.150,35.450,35.550,2.400,4326,-1.150,36.600
0503100000018985,A,53.64,1966,Pand in gebruik,woonfunctie,1235,4.350,4.350,4.350,0.000,3457,-1.450,5.800
0503100000019849,A,323.56,1972,Pand in gebruik,woonfunctie,10540,32.750,35.550,38.150,5.400,5139,-1.050,36.600
0503100000018986,A,52.38,1966,Pand in gebruik,woonfunctie,1330,4.350,4.350,4.350,0.000,2600,-1.550,5.900
0503100000019850,A,300.97,1972,Pand in gebruik,woonfunctie,14067,35.450,35.550,35.550,0.100,7168,-1.050,36.600
0503100000018987,A,52.41,1966,Pand in gebruik,woonfunctie,1350,4.350,4.350,4.350,0.000,2604,-1.550,5.900
0503100000018988,A,52.45,1966,Pand in gebruik,woonfunctie,1338,4.350,4.350,4.350,0.000,2372,-1.550,5.900
0503100000018989,A,52.52,1966,Pand in gebruik,woonfunctie,1350,4.350,4.350,4.450,0.100,3418,-1.750,6.100
0503100000018990,A,52.36,1966,Pand in gebruik,woonfunctie,1343,4.350,4.350,4.450,0.100,3786,-1.550,5.900
0503100000018991,A,9.19,1966,Pand in gebruik,,244,0.150,0.150,0.150,0.000,1888,-2.050,2.200
0503100000018992,A,9.17,1966,Pand in gebruik,,232,0.150,0.150,0.250,0.100,1903,-2.050,2.200
0503100000018993,A,9.15,1966,Pand in gebruik,,236,0.150,0.150,0.250,0.100,1885,-2.050,2.200
0503100000019852,A,59.95,1965,Pand in gebruik,woonfunctie,2480,6.750,6.850,6.850,0.100,2963,-1.150,8.000
0503100000018994,A,9.17,1966,Pand in gebruik,,186,0.150,0.250,0.250,0.100,1814,-1.950,2.200
0503100000018995,A,9.17,1966,Pand in gebruik,,234,0.050,0.150,0.150,0.100,1906,-2.050,2.200
0503100000019853,A,118.55,1966,Verbouwing pand,woonfunctie,4279,1.250,6.450,6.650,5.400,4827,-1.650,8.100
0503100000018996,A,9.17,1966,Pand in gebruik,,240,0.150,0.150,0.150,0.000,1933,-2.050,2.200
0503100000019854,A,653.34,1965,Pand in gebruik,woonfunctie,21005,4.750,7.550,7.650,2.900,20369,-0.950,8.500
0503100000018997,A,9.22,1966,Pand in gebruik,,241,0.150,0.150,0.250,0.100,1981,-1.950,2.100
0503100000019855,A,56.36,1968,Pand in gebruik,overige gebruiksfunctie,1139,2.950,2.950,3.050,0.100,5073,-0.150,3.100
0503100000018998,A,9.19,1966,Pand in gebruik,,238,0.150,0.150,0.250,0.100,2068,-2.050,2.200
0503100000019856,A,208.10,1967,Pand in gebruik,woonfunctie,10363,23.950,23.950,26.950,3.000,6082,-1.550,25.500
0503100000018999,A,9.17,1966,Pand in gebruik,,238,0.050,0.150,0.150,0.100,2010,-2.050,2.200
0503100000019857,A,208.08,1967,Pand in gebruik,woonfunctie,10248,23.850,23.950,27.050,3.200,4638,-1.750,25.700
